iter	RMSE
0	5.615424758
1	5.572733981
2	5.535148813
3	5.487737912
4	5.442226137
5	5.390025759
6	5.344791818
7	5.301288099
8	5.262117756
9	5.215531858
10	5.166348249
11	5.127291193
12	5.079868868
13	5.030291655
14	4.990586397
15	4.946577505
16	4.909205225
17	4.879840684
18	4.832778812
19	4.793690262
20	4.74829452
21	4.698067953
22	4.653536933
23	4.619087489
24	4.581881336
25	4.545826052
26	4.510894648
27	4.474419954
28	4.448877753
29	4.419846328
30	4.39223962
31	4.355270078
32	4.325358838
33	4.288098645
34	4.262197482
35	4.227457511
36	4.191456801
37	4.160441405
38	4.127223615
39	4.095700325
40	4.06732904
41	4.043757437
42	4.016701727
43	3.988512653
44	3.95748357
45	3.931320784
46	3.9011329
47	3.87752467
48	3.852871959
49	3.818175521
50	3.787235735
51	3.762721176
52	3.733619858
53	3.709302994
54	3.68767772
55	3.667051562
56	3.634980908
57	3.612096642
58	3.584929597
59	3.560201099
60	3.538405027
61	3.509660989
62	3.489651093
63	3.462631579
64	3.443040123
65	3.419233757
66	3.397424529
67	3.372122606
68	3.342321595
69	3.316745583
70	3.295767467
71	3.271756226
72	3.250722
73	3.228594567
74	3.208471084
75	3.191936516
76	3.165615421
77	3.14581526
78	3.122654786
79	3.101103726
80	3.07765348
81	3.056750346
82	3.03705534
83	3.018665091
84	2.998447857
85	2.981841792
86	2.961477144
87	2.946816093
88	2.928470144
89	2.911609802
90	2.890502259
91	2.873128343
92	2.852976451
93	2.839754801
94	2.81944205
95	2.798668797
96	2.781177613
97	2.764787472
98	2.742743083
99	2.722059487
100	2.704376287
101	2.686942497
102	2.671223069
103	2.658244662
104	2.639573944
105	2.624153598
106	2.601647167
107	2.579253147
108	2.564947023
109	2.550405587
110	2.532229095
111	2.514078037
112	2.503123055
113	2.490269256
114	2.477673471
115	2.456697692
116	2.439483618
117	2.421057429
118	2.403420253
119	2.387025682
120	2.37148058
121	2.354231697
122	2.337441129
123	2.316972031
124	2.299483954
125	2.284996802
126	2.266494509
127	2.249694067
128	2.236914109
129	2.220329299
130	2.204563071
131	2.189674081
132	2.174214013
133	2.15735074
134	2.14496224
135	2.129823309
136	2.114050168
137	2.101497088
138	2.084646961
139	2.071428117
140	2.056977272
141	2.044368224
142	2.029991156
143	2.019737249
144	2.004484682
145	1.988229355
146	1.975960914
147	1.96114723
148	1.947166284
149	1.934202218
150	1.924209044
151	1.911649168
152	1.898099143
153	1.88661926
154	1.874025382
155	1.862961219
156	1.848530951
157	1.835217351
158	1.821938041
159	1.809469946
160	1.798184229
161	1.787417455
162	1.775782378
163	1.764010169
164	1.751082927
165	1.739166817
166	1.731605745
167	1.720746529
168	1.707259816
169	1.696111452
170	1.687085487
171	1.67475284
172	1.661895256
173	1.650121182
174	1.637081923
175	1.62530273
176	1.610884507
177	1.599204108
178	1.585930001
179	1.576898284
180	1.563532776
181	1.55274123
182	1.541195099
183	1.528890609
184	1.518696008
185	1.507554091
186	1.496329129
187	1.487464797
188	1.475024824
189	1.464591118
190	1.454852952
191	1.444146272
192	1.432599572
193	1.421657977
194	1.411216023
195	1.400980607
196	1.390594071
197	1.382104244
198	1.370948426
199	1.360922124
200	1.349054455
201	1.338620823
202	1.327851628
203	1.319315429
204	1.311644137
205	1.301435734
206	1.293686523
207	1.286417207
208	1.277094911
209	1.270510164
210	1.260782701
211	1.250915551
212	1.241826505
213	1.232248734
214	1.224693075
215	1.213037272
216	1.20444051
217	1.195909841
218	1.186726678
219	1.178807494
220	1.170579651
221	1.160357798
222	1.150374448
223	1.141881711
224	1.132243987
225	1.123368857
226	1.114561874
227	1.105271457
228	1.09787761
229	1.090542464
230	1.082246198
231	1.07498034
232	1.067079474
233	1.060335412
234	1.052064163
235	1.044028886
236	1.03612063
237	1.02936598
238	1.021298592
239	1.014783861
240	1.007929262
241	1.00119232
242	0.9936129185
243	0.9882199993
244	0.9811269116
245	0.9744874038
246	0.9668997441
247	0.9597085471
248	0.9531540596
249	0.9466191941
250	0.9407359158
251	0.935512205
252	0.9288112665
253	0.9222678833
254	0.9154763996
255	0.9086680806
256	0.9010395173
257	0.8951017326
258	0.8873019558
259	0.8805472121
260	0.8747274629
261	0.8673722675
262	0.8605496364
263	0.8534664762
264	0.8474239734
265	0.8406248113
266	0.8333010075
267	0.8271861561
268	0.8205445729
269	0.8147948677
270	0.8089236754
271	0.8024774464
272	0.7959936137
273	0.7901673743
